MinEltMax,AcceptsTermTotal,IsectMax,InitialCreationTotal,ComputationTime,AcceptsTermMax,MinifyMax,MinifyTotal,Test,InitialCreationMax,IsectTotal,MinEltTotal
0,0,0,0,0.03,0,0,0,bool-always-false,0,0,0
0,0,0,0,0.02,0,0,0,bool-always-true,0,0,0
0,0,0,0,0.04,0,0,0,bool-band,0,0,0
0,0,0,0,0.04,0,0,0,bool-bor,0,0,0
0,0,0,0,0.03,0,0,0,bool-impl,0,0,0
0,0,0,0,0.02,0,0,0,bool-neg,0,0,0
0,0,0,0,0.03,0,0,0,bool-xor,0,0,0
0,0,0,0.02,0.09,0,0,0.01,list-append,0.01,0,0.01
0.11,0,0.32,0.40,2.73,0,0.08,0.41,list-compress,0.08,1.22,0.50
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-concat,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-drop,t/o,t/o,t/o
0,0,0,0.02,0.07,0,0,0,list-even-parity,0,0,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-filter,incorrect,incorrect,incorrect
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-fold,incorrect,incorrect,incorrect
0,0,0,0,0.02,0,0,0,list-hd,0,0,0
0,0,0,0.02,0.07,0,0,0,list-inc,0.01,0,0.01
0,0,0,0.01,0.05,0,0,0,list-last,0,0,0
0,0,0,0,0.03,0,0,0,list-length,0,0,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-map,incorrect,incorrect,incorrect
0.22,0,0.03,0.05,24.56,0,0.04,2.97,list-nth,0.01,0.12,20.28
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-pairwise-swap,t/o,t/o,t/o
0.03,0,0.02,1.13,1.66,0,0.02,0.17,list-rev-append,1.05,0.02,0.25
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-rev-fold,incorrect,incorrect,incorrect
0.02,0,0.03,0.04,0.18,0,0.02,0.02,list-rev-snoc,0.02,0.03,0.03
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-rev-tailcall,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-snoc,t/o,t/o,t/o
0.08,0,0.12,0.31,1.38,0,0.10,0.50,list-sort-sorted-insert,0.08,0.12,0.17
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-sorted-insert,t/o,t/o,t/o
0.01,0,0,1.19,1.24,0,0,0,list-stutter,0.31,0,0.01
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-sum,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-take,t/o,t/o,t/o
0,0,0,0,0.17,0,0,0,list-tl,0,0,0
0,0,0.01,0.02,0.36,0,0,0.02,nat-add,0,0.02,0.03
0,0,0,0.01,0.04,0,0,0,nat-iseven,0,0,0
0.02,0,0.06,0.06,0.30,0,0.02,0.05,nat-max,0,0.12,0.04
0,0,0,0.01,0.03,0,0,0,nat-pred,0,0,0
0.33,0,0.24,1.02,2.92,0,0.11,0.27,tree-binsert,0.11,0.63,0.84
0.01,0,0,0.06,0.19,0,0,0.02,tree-collect-leaves,0.03,0.01,0.04
4.78,0,6.96,0.31,79.15,0,10,27.77,tree-count-leaves,0.10,16.29,32.23
0.01,0,0.04,0.03,0.18,0,0.03,0.04,tree-count-nodes,0.01,0.06,0.02
0,0,0.01,0.03,0.08,0,0,0.01,tree-inorder,0.02,0.01,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,tree-map,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-nodes-at-level,t/o,t/o,t/o
0.28,0,1.20,0.33,2.49,0,0.42,0.47,tree-postorder,0.22,1.31,0.32
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-preorder,t/o,t/o,t/o
