SmythIsectMax,NonincrementalInitialCreationMax,IsectMax,SmythInitialCreationTotal,MinifyMax,NonincrementalAcceptsTermMax,Test,InitialCreationMax,NonincrementalLoopCount,NonincrementalMinifyTotal,SmythComputationTime,NonincrementalIsectMax,SmythIsectTotal,SmythMinEltTotal,SmythMinEltMax,NonincrementalMinifyMax,SmythLoopCount,SmythMinifyTotal,NonincrementalIsectTotal,LoopCount,AcceptsTermTotal,MinEltTotal,NonincrementalMinEltTotal,MinifyTotal,SmythAcceptsTermTotal,AcceptsTermMax,IsectTotal,SmythMinifyMax,MinEltMax,NonincrementalComputationTime,SmythAcceptsTermMax,NonincrementalAcceptsTermTotal,ComputationTime,NonincrementalInitialCreationTotal,InitialCreationTotal,NonincrementalMinEltMax,SmythInitialCreationMax
0,0,0,0,0,0,bool-always-false,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0
0,0,0,0,0,0,bool-always-true,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0
0,0,0,0,0,0,bool-band,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0
0,0,0,0,0,0,bool-bor,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0
0,0,0,0,0,0,bool-impl,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0
0,0,0,0,0,0,bool-neg,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.03,0,0,0,0
0,0,0,0,0,0,bool-xor,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0
0,0,0,0,0,0,list-append,0.01,0,0.01,0.05,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.02,0,0,0.01,0,0,0.15,0,0,0.20,0.05,0.10,0,0
t/o,0.02,0.10,t/o,0.03,0,list-compress,0.02,0,0.16,t/o,0.10,t/o,t/o,t/o,0.04,t/o,t/o,0.41,0,0,0.13,0.20,0.33,t/o,0,0.22,t/o,0.06,0.98,t/o,0,0.97,0.10,0.06,0.07,t/o
0,0.01,0,0,0,0,list-concat,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0.08,0,0,0.08,0.01,0.01,0.01,0
0,0.01,0.09,0,0.06,0,list-drop,0.01,0,0.33,0.04,0.06,0,0,0,0.06,0,0,0.33,0,0,1.79,1.29,0.45,0,0,0.57,0,0.29,2.29,0,0,3.31,0.29,0.43,0.26,0
0,0,0,0,0,0,list-even-parity,0,0,0,0.08,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0.07,0,0,0.08,0.02,0.01,0,0
0,0,0,0,0,0,list-filter,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.04,0.01,0.01,0,0
0,0.02,0.03,0,0.01,0,list-fold,0.02,0,0.02,0.65,0.02,0,0,0,0.01,0,0,0.04,0,0,0.02,0.02,0.03,0,0,0.03,0,0.02,0.19,0,0,0.19,0.06,0.04,0.02,0
0,0,0,0,0,0,list-hd,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0
0,0,0,0,0,0,list-inc,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.08,0.02,0.02,0,0
0,0,0,0,0,0,list-last,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0.01,0.01,0,0
0,0,0,0,0,0,list-length,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.03,0,0,0,0
0,0,0,0,0,0,list-map,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.08,0.02,0.02,0,0
0,0.01,0.19,0,0.16,0,list-nth,0.01,0,1.07,0.08,0.19,0,0,0,0.19,0,0,1.30,0,0,0.32,0.64,0.51,0,0,0.55,0,0.11,3.27,0,0,1.54,0.20,0.06,0.09,0
0,0.10,0.06,0,0.02,0,list-pairwise-swap,0.11,0,0.05,0.30,0.06,0,0,0,0.03,0,0,0.08,0,0,0.83,0.80,0.05,0,0,0.07,0,0.76,1.35,0,0,1.30,0.33,0.29,0.72,0
0,0.04,0.02,0,0.01,0,list-rev-append,0.04,0,0.11,0.08,0.02,0,0,0,0.01,0,0,0.12,0,0,0.65,0.73,0.10,0,0,0.10,0,0.08,1.63,0,0,1.42,0.62,0.55,0.08,0
0,0.02,0,0,0,0,list-rev-fold,0.02,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0.03,0.03,0,0
0,0.05,0.05,0,0.03,0,list-rev-snoc,0.05,0,0.05,0.04,0.05,0,0,0,0.03,0,0,0.05,0,0,1.40,1.82,0.04,0,0,0.05,0,1.39,2.08,0,0,1.61,0.10,0.09,1.81,0
0,0.01,0,0,0,0,list-rev-tailcall,0.01,0,0.01,0.03,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.01,0,0,0.01,0,0,0.30,0,0,0.26,0.19,0.17,0,0
0,0.46,0.01,0,0.06,0,list-snoc,0.39,0,0.20,0.05,0.01,0,0,0,0.06,0,0,0.02,0,0,0.50,0.47,0.19,0,0,0.02,0,0.26,2.74,0,0,2.64,2.15,2.01,0.24,0
0,0.01,0.01,0,0.01,0,list-sort-sorted-insert,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0.01,0,0.02,0.09,0,0,0.14,0.06,0.04,0,0
0,t/o,t/o,0,t/o,t/o,list-sorted-insert,t/o,t/o,t/o,1.59,t/o,0,0,0,t/o,0,0,t/o,t/o,t/o,t/o,t/o,t/o,0,t/o,t/o,0,t/o,t/o,0,t/o,t/o,t/o,t/o,t/o,0
0,0.46,0,0,0,0,list-stutter,0.49,0,0.01,0.04,0,0,0,0,0,0,0,0.01,0,0,0.02,0.02,0.01,0,0,0,0,0,5.94,0,0,5.22,5.88,5.14,0,0
0,0.02,0,0,0,0,list-sum,0.02,0,0.01,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.13,0,0,0.13,0.07,0.07,0,0
0,t/o,t/o,0,t/o,t/o,list-take,t/o,t/o,t/o,0.04,t/o,0,0,0,t/o,0,0,t/o,t/o,t/o,t/o,t/o,t/o,0,t/o,t/o,0,t/o,t/o,0,t/o,t/o,t/o,t/o,t/o,0
0,0,0,0,0,0,list-tl,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0.05,0.01,0.01,0,0
0,0,0.01,0,0.01,0,nat-add,0,0,0.03,0.04,0.01,0,0,0,0.01,0,0,0.04,0,0,0.04,0.04,0.03,0,0,0.03,0,0.01,0.31,0,0,6.81,0.12,0.10,0.01,0
0,0,0,0,0,0,nat-iseven,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0.01,0.01,0,0
0,0,0.06,0,0.03,0,nat-max,0.01,0,0.05,0.13,0.05,0,0,0,0.02,0,0,0.11,0,0,0.03,0.05,0.08,0,0,0.09,0,0.02,0.29,0,0,0.34,0.04,0.03,0.03,0
0,0,0,0,0,0,nat-pred,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0,0,0,0
t/o,0.14,0.44,t/o,0.13,0,tree-binsert,0.17,0,0.24,t/o,0.24,t/o,t/o,t/o,0.09,t/o,t/o,0.61,0,0,0.65,0.42,1.25,t/o,0,0.82,t/o,0.36,2.55,t/o,0,3.90,1.14,0.45,0.18,t/o
0,0,0.04,0,0.03,0,tree-collect-leaves,0.03,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.43,0.01,0.04,0,0,0.04,0,0.42,0.08,0,0,0.65,0.04,0.08,0,0
0,0.01,0.01,0,0.01,0,tree-count-leaves,0,0,0.04,0.61,0.01,0,0,0,0.01,0,0,0.07,0,0,0.10,0.17,0.03,0,0,0.04,0,0.04,0.46,0,0,0.29,0.09,0.04,0.05,0
0,0,0.02,0,0.01,0,tree-count-nodes,0,0,0.01,0.25,0.01,0,0,0,0.01,0,0,0.02,0,0,0.02,0.02,0.01,0,0,0.02,0,0.02,0.13,0,0,0.13,0.02,0.01,0.02,0
0,2.50,1.13,0,0.62,0,tree-inorder,2.74,0,0.73,0.14,1.03,0,0,0,0.71,0,0,1.05,0,0,5.61,5.80,0.65,0,0,1.14,0,5.60,10.52,0,0,10.32,2.84,2.89,5.79,0
err,0.04,0.01,err,0.01,0,tree-map,0.04,0,0.03,err,0.02,err,err,err,0.01,err,err,0.03,0,0,0.03,0.03,0.04,err,0,0.03,err,0.01,0.75,err,0,0.64,0.57,0.46,0.01,err
t/o,0.01,12.08,t/o,5.06,0,tree-nodes-at-level,0.01,0,8.23,t/o,12.59,t/o,t/o,t/o,4.65,t/o,t/o,20.25,0,0,7.19,10.25,16.14,t/o,0,15.56,t/o,4.59,38.99,t/o,0,44.97,0.07,0.04,4.85,t/o
t/o,0.13,1.97,t/o,0.49,0,tree-postorder,0.13,0,0.54,t/o,1.83,t/o,t/o,t/o,0.48,t/o,t/o,2,0,0,0.73,0.87,0.64,t/o,0,2.07,t/o,0.65,4.26,t/o,0,4,0.78,0.37,0.70,t/o
0,0.01,0.01,0,0,0,tree-preorder,0.01,0,0.02,0.13,0.01,0,0,0,0.01,0,0,0.02,0,0,0.02,0.03,0.01,0,0,0.01,0,0.01,0.29,0,0,0.19,0.16,0.08,0.01,0
