MinEltMax,AcceptsTermTotal,IsectMax,InitialCreationTotal,ComputationTime,AcceptsTermMax,MinifyMax,MinifyTotal,Test,InitialCreationMax,IsectTotal,MinEltTotal
0,0,0,0,0.02,0,0,0,bool-always-false,0,0,0
0,0,0,0,0.02,0,0,0,bool-always-true,0,0,0
0,0,0,0,0.70,0,0,0,bool-band,0,0,0
0,0,0,0,0.53,0,0,0,bool-bor,0,0,0
0,0,0,0,0.04,0,0,0,bool-impl,0,0,0
0,0,0,0,0.02,0,0,0,bool-neg,0,0,0
0,0,0,0,0.04,0,0,0,bool-xor,0,0,0
0.01,0,0.01,0.04,0.29,0,0.01,0.10,list-append,0.01,0.04,0.05
0.11,0,0.36,0.46,3.38,0,0.13,0.57,list-compress,0.09,1.57,0.56
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-concat,incorrect,incorrect,incorrect
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-drop,incorrect,incorrect,incorrect
0,0,0,0.02,0.08,0,0,0,list-even-parity,0,0,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-filter,incorrect,incorrect,incorrect
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-fold,incorrect,incorrect,incorrect
0,0,0,0,0.04,0,0,0,list-hd,0,0,0
0,0,0,0.02,0.07,0,0,0,list-inc,0.01,0,0
0,0,0,0.02,0.08,0,0,0,list-last,0.01,0,0
0,0,0,0.01,0.04,0,0,0,list-length,0,0,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-map,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-nth,t/o,t/o,t/o
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-pairwise-swap,t/o,t/o,t/o
0.02,0,0.02,3.63,5.37,0,0.03,0.70,list-rev-append,1.77,0.05,0.23
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-rev-fold,incorrect,incorrect,incorrect
0,0,0.01,0.05,0.13,0,0.01,0.01,list-rev-snoc,0.02,0.01,0.01
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-rev-tailcall,incorrect,incorrect,incorrect
0.11,0,0.87,1.38,10.99,0,0.14,2.61,list-snoc,0.34,4.67,1.15
0.07,0,0.13,0.34,1.44,0,0.11,0.52,list-sort-sorted-insert,0.09,0.13,0.15
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-sorted-insert,t/o,t/o,t/o
0,0,0,2.58,2.67,0,0,0.01,list-stutter,0.36,0,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,list-sum,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-take,t/o,t/o,t/o
0,0,0,0.01,0.04,0,0,0,list-tl,0,0,0
0,0,0.01,0.03,1.53,0,0,0.05,nat-add,0,0.03,0.02
0,0,0,0.01,0.08,0,0,0,nat-iseven,0,0,0
0.02,0,0.06,0.06,0.33,0,0.02,0.05,nat-max,0,0.13,0.04
0,0,0,0.01,0.04,0,0,0,nat-pred,0,0,0
0.19,0,0.43,1.56,4.74,0,0.19,0.58,tree-binsert,0.14,1.48,0.54
0.01,0,0.01,0.09,0.29,0,0,0.05,tree-collect-leaves,0.05,0.03,0.05
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-count-leaves,t/o,t/o,t/o
0.01,0,0.04,0.03,0.18,0,0.03,0.04,tree-count-nodes,0.01,0.06,0.02
0,0,0.01,0.03,0.07,0,0,0,tree-inorder,0.02,0.01,0
incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,tree-map,incorrect,incorrect,incorrect
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-nodes-at-level,t/o,t/o,t/o
0.27,0,1.36,0.40,2.90,0,0.53,0.59,tree-postorder,0.28,1.47,0.32
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-preorder,t/o,t/o,t/o
