SimpleMinEltMax,SmythIsectMax,NonincrementalInitialCreationMax,SmythFullSynth,IsectMax,RandomMinEltTotal,NonincrementalComputationTime,SmythInitialCreationTotal,MinifyMax,NonincrementalAcceptsTermMax,SimpleInitialCreationTotal,Test,InitialCreationMax,SimpleAcceptsTermTotal,NonincrementalLoopCount,RandomMinifyTotal,SimpleAcceptsTermMax,NonincrementalMinifyTotal,SmythComputationTime,RandomFullSynthMax,FullSynth,NonincrementalIsectMax,SmythIsectTotal,RandomInitialCreationMax,SimpleInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SmythFullSynthMax,SmythMinEltTotal,SmythMinEltMax,NonincrementalMinifyMax,SmythLoopCount,NonincrementalMinEltMax,RandomMinEltMax,SimpleLoopCount,NonincrementalIsectTotal,LoopCount,SimpleIsectTotal,RandomComputationTime,AcceptsTermTotal,MinEltTotal,RandomAcceptsTermMax,NonincrementalMinEltTotal,FullSynthMax,SmythAcceptsTermTotal,SimpleFullSynth,RandomInitialCreationTotal,AcceptsTermMax,IsectTotal,SmythMinifyMax,SimpleMinifyMax,MinEltMax,NonincrementalFullSynth,RandomFullSynth,NonincrementalFullSynthMax,MinifyTotal,RandomIsectTotal,SmythAcceptsTermMax,NonincrementalAcceptsTermTotal,RandomLoopCount,ComputationTime,NonincrementalInitialCreationTotal,SimpleMinifyTotal,RandomMinifyMax,SimpleFullSynthMax,RandomIsectMax,InitialCreationTotal,RandomAcceptsTermTotal,SmythMinifyTotal,SimpleIsectMax,SmythInitialCreationMax
0,0,0,0,0,0,0.04,0,0,0,0,bool-always-false,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02,0,0,0,0,bool-always-true,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-band,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-bor,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.03,0,0,0,0,bool-impl,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.02,0,0,0,0,bool-neg,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.04,0,0,0,0,bool-xor,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.19,0,0,0,0.02,list-append,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0,0.09,0.03,0,0,0,0,0,0,0,0,0.01,0,0.01,0.08,0,0.01,0,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.19,0.08,0.01,0,0,0,0.10,0,0,0,0
0.04,\incorrect,0.03,\incorrect,0.13,1.09,1.22,\incorrect,0.04,0,0.12,list-compress,0.03,0,0,4.14,0,0.18,\incorrect,0,0,0.13,\incorrect,0.06,0.03,1.72,0.10,\incorrect,\incorrect,\incorrect,0.04,\incorrect,0.08,0.27,0,0.50,0,1,13.67,0,0.17,0,0.29,0,\incorrect,0,1.58,0,0.29,\incorrect,0.06,0.09,0,0,0,0.41,4.33,\incorrect,0,0,1.12,0.12,0.37,0.23,0,0.77,0.08,0,\incorrect,0.14,\incorrect
0,0,0.01,0,0,0.01,0.07,0,0,0,0.01,list-concat,0.01,0,0,0,0,0,0.04,0,0,0,0,0.01,0.01,0.08,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0.08,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.07,0.02,0,0,0,0,0.02,0,0,0,0
