SimpleMinEltMax,NonincrementalInitialCreationMax,RandomMinEltMax,IsectMax,RandomMinEltTotal,AcceptsTermMax,MinifyMax,NonincrementalAcceptsTermMax,Test,InitialCreationMax,SimpleAcceptsTermTotal,NonincrementalLoopCount,RandomMinifyTotal,NonincrementalMinifyTotal,SimpleMinifyMax,RandomFullSynthMax,FullSynth,NonincrementalIsectMax,RandomInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SimpleFullSynthMax,NonincrementalAcceptsTermTotal,NonincrementalMinifyMax,NonincrementalMinEltMax,NonincrementalComputationTime,SimpleLoopCount,NonincrementalIsectTotal,LoopCount,SimpleIsectTotal,RandomComputationTime,AcceptsTermTotal,MinEltTotal,RandomAcceptsTermMax,NonincrementalMinEltTotal,FullSynthMax,SimpleFullSynth,RandomInitialCreationTotal,SimpleAcceptsTermMax,IsectTotal,SimpleInitialCreationMax,MinEltMax,NonincrementalFullSynth,NonincrementalFullSynthMax,MinifyTotal,RandomIsectTotal,RandomLoopCount,ComputationTime,NonincrementalInitialCreationTotal,SimpleMinifyTotal,RandomMinifyMax,InitialCreationTotal,RandomIsectMax,RandomAcceptsTermTotal,RandomFullSynth,SimpleIsectMax,SimpleInitialCreationTotal
0.02,0.01,0.02,0.08,0.11,0,0.03,0,list-drop,0.01,0,0,0.33,0.02,0.03,0,0,0.02,0.01,1.20,0.03,0,0,0.01,0.03,0.92,0,0.04,0,0.27,2.14,0,0.14,0,0.05,0,0,0.14,0,0.15,0.01,0.06,0,0,0.07,0.81,0,1.13,0.08,0.11,0.12,0.08,0.54,0,0,0.09,0.11
0,0,0.03,0,0.14,0,0,0,list-even-parity,0,0,0,1.42,0.01,0,0,0,0,0,0.23,0,0,0,0,0,18.67,0,0.02,0,0.02,2.42,0,0.01,0,0.01,0,0,0.05,0,0.01,0,0,0,0,0.01,0.40,0,0.19,0.02,0.01,0.04,0.01,0.09,0,0,0,0.02
0.01,0,0.02,0.01,0.07,0,0,0,list-filter,0.01,0,0,0.82,0.02,0.01,0,0,0.01,0.01,1.41,0.01,0,0,0,0.01,1.50,0,0.05,0,0.06,3.08,0,0.01,0,0.03,0,0,0.08,0,0.03,0.01,0.01,0,0,0.04,0.36,0,1.51,0.09,0.03,0.04,0.04,0.12,0,0,0.01,0.09
0.12,0.02,\incorrect,0.07,\incorrect,0,0.03,0,list-fold,0.02,0,0,\incorrect,0.26,0.05,\incorrect,0,0.06,\incorrect,4.35,2.56,0,0,0.02,0.06,4.32,0,0.43,0,0.29,\incorrect,0,0.29,\incorrect,0.43,0,0,\incorrect,0,0.33,0.01,0.07,0,0,0.21,\incorrect,\incorrect,3.44,1.83,0.14,\incorrect,1.33,\incorrect,\incorrect,\incorrect,0.12,0.20
0,0,0,0,0,0,0,0,list-hd,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.30,0,0,0,0,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0,0,0,0,list-inc,0.01,0,0,0,0,0,0,0,0,0.01,1.73,0,0,0,0,0,1.68,0,0,0,0,1.67,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,1.68,0.02,0,0,0.01,0,0,0,0,0.01
0,0,0,0,0.03,0,0,0,list-last,0,0,0,0.11,0,0,0,0,0,0,0.40,0,0,0,0,0,0.42,0,0,0,0,0.57,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.07,0,0.43,0.01,0,0.01,0.01,0.02,0,0,0,0.01
0,0,0,0,0,0,0,0,list-length,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.36,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40,0.01,0,0,0,0,0,0,0,0.01
0,0.02,0,0,0.01,0,0,0,list-map,0.02,0,0,0.04,0.01,0,0,0,0.01,0.02,2.72,0,0,0,0,0,2.74,0,0.01,0,0.01,2.90,0,0,0,0.01,0,0,0.13,0,0,0.02,0,0,0,0,0.04,0,2.87,0.17,0.01,0.01,0.10,0.02,0,0,0.01,0.13
0,0.01,0.03,0.01,0.09,0,0,0,list-nth,0.01,0,0,0.24,0.01,0,0,0,0.01,0.01,1.12,0,0,0,0,0.01,1.19,0,0.02,0,0.01,2.24,0,0.01,0,0.02,0,0,0.66,0,0.02,0.01,0.01,0,0,0.02,0.18,0,1.13,0.10,0.01,0.02,0.05,0.05,0,0,0,0.07
0,0.04,0.02,0.01,0.59,0,0,0,list-pairwise-swap,0.04,0,0,2.14,0.01,0,0,0,0.01,0.07,0.89,0.01,0,0,0,0,1.02,0,0.03,0,0.03,15.26,0,0.02,0,0.02,0,0,8.58,0,0.02,0.05,0,0,0,0.02,1.64,0,0.90,0.26,0.02,0.02,0.18,0.08,0,0,0,0.24
0,0.02,0,0,0,0,0,0,list-rev-append,0.02,0,0,0,0.01,0,0,0,0,0.02,1.45,0,0,0,0,0,1.45,0,0.01,0,0.01,1.42,0,0.01,0,0.01,0,0,0.07,0,0.01,0.02,0,0,0,0.01,0.01,0,1.53,0.09,0.01,0,0.08,0,0,0,0,0.08
0,0.01,0,0,0,0,0,0,list-rev-fold,0.02,0,0,0,0,0,0,0,0,0.01,1.98,0,0,0,0,0,1.91,0,0,0,0,1.94,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,1.97,0.03,0,0,0.03,0,0,0,0,0.03
0,0.01,\incorrect,0,\incorrect,0,0,0,list-rev-snoc,0.01,0,0,\incorrect,0,0,\incorrect,0,0,\incorrect,1.47,0,0,0,0,0,1.45,0,0,0,0.01,\incorrect,0,0,\incorrect,0,0,0,\incorrect,0,0,0.01,0,0,0,0,\incorrect,\incorrect,1.43,0.04,0,\incorrect,0.03,\incorrect,\incorrect,\incorrect,0,0.03
\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,list-rev-tailcall,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0.01,0.93,0,1.36,0,0,0,list-snoc,0.01,0,0,0.77,0,0,0,0,0,0.03,0.83,0,0,0,0,0,0.87,0,0,0,0,6.38,0,0,0,0,0,0,0.38,0,0,0.01,0,0,0,0,1.75,0,0.87,0.07,0,0.44,0.07,1.11,0,0,0,0.03
0.09,0.04,\incorrect,0.38,\incorrect,0,0.15,0,list-sort-sorted-insert,0.04,0,0,\incorrect,0.17,0.17,\incorrect,0,0.39,\incorrect,4.76,0.10,0,0,0.15,0.15,4.08,0,0.43,0,1.15,\incorrect,0,0.16,\incorrect,0.17,0,0,\incorrect,0,0.41,0.05,0.15,0,0,0.19,\incorrect,\incorrect,11.79,0.18,0.43,\incorrect,0.12,\incorrect,\incorrect,\incorrect,0.48,0.20
\incorrect,0.03,\incorrect,0.05,\incorrect,0,0.01,0,list-sorted-insert,0.03,\incorrect,0,\incorrect,0.06,\incorrect,\incorrect,0,0.04,\incorrect,\incorrect,\incorrect,\incorrect,0,0.01,0.02,4.38,\incorrect,0.14,0,\incorrect,\incorrect,0,0.08,\incorrect,0.08,0,\incorrect,\incorrect,\incorrect,0.17,\incorrect,0.02,0,0,0.09,\incorrect,\incorrect,4.78,0.56,\incorrect,\incorrect,0.43,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0.07,0.36,\incorrect,0.19,\incorrect,0,0.06,0,list-stutter,0.35,0,0,\incorrect,0.06,0.06,\incorrect,0,0.19,\incorrect,3.03,0.07,0,0,0.06,0.22,3.17,0,0.19,0,0.29,\incorrect,0,0.22,\incorrect,0.22,0,0,\incorrect,0,0.20,0.37,0.22,0,0,0.06,\incorrect,\incorrect,3.11,1.22,0.10,\incorrect,1.16,\incorrect,\incorrect,\incorrect,0.17,1.22
0,0.01,0,0,0,0,0,0,list-sum,0.01,0,0,0,0,0,0,0,0,0.01,17.35,0,0,0,0,0,1.08,0,0,0,0,1.04,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,1.04,0.02,0,0,0.01,0,0,0,0,0.01
\incorrect,0.02,\incorrect,1.41,\incorrect,0,0.41,0,list-take,0.01,\incorrect,0,\incorrect,1.40,\incorrect,\incorrect,0,1.41,\incorrect,\incorrect,\incorrect,\incorrect,0,0.48,1.29,11,\incorrect,4.48,0,\incorrect,\incorrect,0,4.46,\incorrect,4.23,0,\incorrect,\incorrect,\incorrect,4.43,\incorrect,1.50,0,0,1.30,\incorrect,\incorrect,11.02,0.16,\incorrect,\incorrect,0.14,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,0,0,0,0,list-tl,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.36,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,nat-add,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,0,0,0,0,nat-iseven,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,nat-max,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0,0,0,0,0,0,0,0,nat-pred,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,tree-binsert,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect
0.01,0.02,0.01,0.02,0.02,0,0,0,tree-collect-leaves,0.03,0,0,0.02,0.01,0,0,0,0.02,0.03,8.26,0.01,0,0,0,0.02,8.46,0,0.02,0,0.03,8.53,0,0.02,0,0.02,0,0,0.05,0,0.02,0.02,0.02,0,0,0.01,0.05,0,8.29,0.07,0.01,0.01,0.05,0.04,0,0,0.01,0.06
0.01,0,0.02,0.01,0.02,0,0.01,0,tree-count-leaves,0,0,0,0.01,0.01,0.01,0,0,0.01,0,8.13,0.01,0,0,0.01,0.02,8.18,0,0.02,0,0.03,8.16,0,0.02,0,0.03,0,0,0.01,0,0.02,0,0.02,0,0,0.01,0.02,0,8.16,0.02,0.02,0.01,0.01,0.01,0,0,0.02,0.02
0.39,0,0.01,0.56,0.02,0,0.45,0,tree-count-nodes,0.01,0,0,0.02,0.01,0.41,0,0,0.01,0.01,14.33,0.41,0,0,0.01,0.02,11.26,0,0.03,0,1.50,11.58,0,0.54,0,0.03,0,0,0.02,0,0.61,0,0.51,0,0,0.59,0.02,0,13.49,0.04,0.95,0.01,0.02,0.01,0,0,0.69,0.04
0.78,0.38,0.01,35.67,0.02,0,1.56,0,tree-inorder,0.32,0,0,0.01,3.32,1.84,0,0,36.66,0.33,64.37,1.32,0,0,1.83,3.17,68.08,0,41.03,0,41.54,15,0,4.79,0,7.37,0,0,0.39,0,37.71,0.30,2.73,0,0,5.35,0.05,0,64.82,1.30,6.33,0.01,0.58,0.05,0,0,17.83,1.06
0.01,0.06,0.11,0.07,0.30,0,0.01,0,tree-map,0.06,0,0,4.06,0.03,0.01,0,0,0.05,0.07,12.09,0.02,0,0,0.01,0.01,12.32,0,0.09,0,0.26,21.22,0,0.02,0,0.03,0,0,0.55,0,0.09,0.06,0.01,0,0,0.04,3.37,0,11.79,0.85,0.07,0.40,0.29,1.81,0,0,0.09,0.62
2.50,0.01,\incorrect,10.80,\incorrect,0,4.28,0,tree-nodes-at-level,0.01,0,0,\incorrect,7.91,3.73,\incorrect,0,11.03,\incorrect,51.54,3.55,0,0,4,4.27,43.10,0,18.75,0,26.76,\incorrect,0,6.90,\incorrect,10.05,0,0,\incorrect,0,14.11,0.01,4.35,0,0,15.39,\incorrect,\incorrect,42.73,0.14,15.37,\incorrect,0.06,\incorrect,\incorrect,\incorrect,6.16,0.13
0.99,0.19,0.96,3.96,2.27,0,0.97,0,tree-postorder,0.17,0,0,8.42,1.27,1.22,0,0,4.02,0.25,45.60,1.08,0,0,1.04,1.55,26.62,0,5.21,0,25.66,49.24,0,1.76,0,1.91,0,0,1.04,0,4.65,0.18,1.57,0,0,1.36,23.35,0,23.21,0.99,4.21,0.94,0.46,14.67,0,0,10.59,0.93
0,0.18,\incorrect,1.64,\incorrect,0,0.41,0,tree-preorder,0.19,0,0,\incorrect,0.44,0,\incorrect,0,1.81,\incorrect,13.30,0,0,0,0.38,0.62,19.11,0,2.03,0,0.01,\incorrect,0,0.61,\incorrect,0.71,0,0,\incorrect,0,1.85,0.01,0.53,0,0,0.48,\incorrect,\incorrect,18.99,0.80,0.01,\incorrect,0.43,\incorrect,\incorrect,\incorrect,0,0.03
