Test,PostTime
bool-band,err
bool-bor,err
bool-impl,err
bool-neg,err
bool-xor,err
list-append,0.51
list-compress,err
list-concat,err
list-drop,0.58
list-even-parity,err
list-filter,err
list-fold,err
list-hd,0.29
list-inc,0.48
list-last,err
list-length,err
list-map,err
list-nth,err
list-pairwise-swap,err
list-rev-append,err
list-rev-fold,err
list-rev-snoc,err
list-rev-tailcall,err
list-snoc,0.40
list-sort-sorted-insert,err
list-sorted-insert,err
list-stutter,err
list-sum,err
list-take,0.47
list-tl,0.30
nat-add,err
nat-iseven,0.34
nat-max,0.56
nat-pred,0.31
tree-binsert,err
tree-collect-leaves,err
tree-collect-leaves-nat,0.60
tree-count-leaves,9.77
tree-count-nodes,16.26
tree-inorder,err
tree-map,err
tree-nodes-at-level,err
tree-postorder,err
tree-preorder,err
