MinEltMax,AcceptsTermTotal,IsectMax,InitialCreationTotal,ComputationTime,AcceptsTermMax,MinifyMax,MinifyTotal,Test,InitialCreationMax,IsectTotal,MinEltTotal
0,0,0,0,0.02,0,0,0,bool-always-false,0,0,0
0,0,0,0,0.02,0,0,0,bool-always-true,0,0,0
0,0,0,0,0.02,0,0,0,bool-band,0,0,0
0,0,0,0.01,0.04,0,0,0,bool-bor,0,0,0
0,0,0,0,0.04,0,0,0,bool-impl,0,0,0
0,0,0,0,0.02,0,0,0,bool-neg,0,0,0
err,err,err,err,err,err,err,err,bool-xor,err,err,err
0.12,0,0.20,0.06,1.46,0,0.25,0.35,list-append,0,0.31,0.20
0.12,0,0.27,0.13,6.90,0,0.13,0.66,list-compress,0.01,0.94,0.90
0.20,0,0.58,1.30,3.93,0,0.37,0.38,list-concat,1.28,0.59,0.21
0.43,0,0.67,0.09,30.92,0,0.67,8.60,list-drop,0.01,9.68,5.36
0,0,0,0.01,0.18,0,0,0,list-even-parity,0,0,0
0.01,0,0.03,0.06,1.39,0,0.01,0.05,list-filter,0,0.11,0.07
0.12,0,0.05,0.07,1.24,0,0.03,0.07,list-fold,0,0.08,0.14
0,0,0,0,0.34,0,0,0,list-hd,0,0,0
0,0,0,0.01,0.60,0,0,0,list-inc,0,0,0
0,0,0,0.01,0.50,0,0,0,list-last,0,0,0
0,0,0,0.01,0.69,0,0,0,list-length,0,0,0
0,0,0,0.02,0.81,0,0,0.01,list-map,0,0.01,0.01
0,0,0.01,0.03,0.60,0,0,0.01,list-nth,0,0.02,0.02
0.01,0,0.01,0.05,0.66,0,0,0.03,list-pairwise-swap,0.01,0.03,0.04
6.85,0,0.75,0.92,11.05,0,0.85,0.87,list-rev-append,0.69,0.76,6.88
0,0,0.01,0.19,1.15,0,0.01,0.01,list-rev-fold,0.18,0.01,0
0.96,0,0.07,0.21,2.45,0,0.06,0.07,list-rev-snoc,0.10,0.08,0.96
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,list-rev-tailcall,t/o,t/o,t/o
0,0,0,0.03,0.86,0,0,0.01,list-snoc,0.01,0,0.01
0.20,0,1.20,0.14,4.81,0,1.04,1.12,list-sort-sorted-insert,0.05,1.30,0.23
0.73,0,2.28,0.28,6.64,0,1.32,1.54,list-sorted-insert,0.01,2.81,1.08
0,0,0,0.74,1.22,0,0,0,list-stutter,0.08,0,0
0,0,0,0.02,1.13,0,0,0,list-sum,0.01,0,0
0.03,0,0.03,0.11,2.07,0,0.02,0.27,list-take,0.01,0.39,0.48
0,0,0,0.01,0.33,0,0,0,list-tl,0,0,0
0,0,0,0.02,0.13,0,0,0,nat-add,0,0.01,0.01
0,0,0,0.01,0.04,0,0,0,nat-iseven,0,0,0
0.82,0,0.55,0.06,2.06,0,0.37,0.42,nat-max,0.01,0.64,0.85
0,0,0,0.01,0.04,0,0,0,nat-pred,0,0,0
2.97,0,2.34,0.91,30.29,0,1.60,3.63,tree-binsert,0.10,6.08,8.12
0.08,0,0.09,0.11,9.16,0,0.08,0.09,tree-collect-leaves,0.03,0.10,0.09
4.09,0,9.40,0.13,37.93,0,11.23,11.28,tree-count-leaves,0.05,9.47,4.21
0.63,0,2.19,0.10,13.57,0,1.98,2,tree-count-nodes,0.03,2.23,0.66
0.69,0,0.96,1.11,17.03,0,0.66,0.71,tree-inorder,0.58,1.06,0.74
0,0,0.01,0.06,9.10,0,0,0.01,tree-map,0.01,0.02,0.01
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-nodes-at-level,t/o,t/o,t/o
3.01,0,2.78,1.20,25.37,0,1.56,2.35,tree-postorder,0.59,3.99,3.75
0.01,0,0.01,0.03,11.76,0,0.01,0.01,tree-preorder,0.01,0.01,0.01
